role,industry,salary_aud,experience_level,remote_friendly,top_skill_1,top_skill_2,top_skill_3,yoy_growth_pct
Data Analyst,Retail & E-commerce,81704,Junior (1-3 yrs),Yes,Python,Excel,Power BI,25.6
Data Analyst,Media & Comms,90356,Junior (1-3 yrs),Yes,Python,Excel,Power BI,19.6
Data Analyst,Healthcare,107168,Junior (1-3 yrs),No,Tableau,Data Cleaning,Excel,20.5
Data Analyst,Manufacturing,83403,Mid (3-5 yrs),Hybrid,SQL,Power BI,Tableau,17.9
Data Analyst,Consulting,59755,Graduate (0-1 yrs),Yes,Power BI,Excel,Python,18.2
Data Analyst,Manufacturing,96841,Senior (5+ yrs),No,Tableau,Excel,Power BI,13.5
Data Analyst,Finance & Banking,106629,Mid (3-5 yrs),Yes,SQL,Power BI,Python,25.7
Data Analyst,Consulting,73743,Graduate (0-1 yrs),No,SQL,Python,Power BI,14.7
Data Analyst,Education,77053,Junior (1-3 yrs),Hybrid,Python,Power BI,SQL,13.8
Data Analyst,Healthcare,100114,Mid (3-5 yrs),Hybrid,Tableau,Power BI,Data Cleaning,15.7
Data Analyst,Manufacturing,86456,Junior (1-3 yrs),Yes,Power BI,Data Cleaning,Tableau,16.4
Data Analyst,Manufacturing,107491,Mid (3-5 yrs),Hybrid,SQL,Tableau,Data Cleaning,19.5
Data Analyst,Education,93086,Senior (5+ yrs),Hybrid,Excel,Data Cleaning,SQL,19.0
Data Analyst,Healthcare,80085,Junior (1-3 yrs),No,Python,Data Cleaning,Tableau,14.2
Data Analyst,Media & Comms,64876,Graduate (0-1 yrs),No,Data Cleaning,Excel,Power BI,18.6
Data Analyst,Education,68090,Mid (3-5 yrs),Hybrid,Data Cleaning,Python,Excel,17.7
Data Analyst,Healthcare,89441,Junior (1-3 yrs),Hybrid,Data Cleaning,Python,Tableau,16.1
Data Analyst,Healthcare,111143,Senior (5+ yrs),No,Data Cleaning,Excel,SQL,16.7
Data Analyst,Healthcare,69762,Graduate (0-1 yrs),Hybrid,Excel,Python,SQL,21.1
Data Analyst,Consulting,66814,Graduate (0-1 yrs),Hybrid,Data Cleaning,Python,SQL,19.4
Data Analyst,Finance & Banking,63769,Junior (1-3 yrs),No,Python,Power BI,Excel,19.2
Data Analyst,Retail & E-commerce,64525,Graduate (0-1 yrs),Hybrid,Power BI,Data Cleaning,Tableau,10.9
Data Analyst,Education,65484,Graduate (0-1 yrs),Hybrid,Power BI,Tableau,SQL,17.6
Data Analyst,Retail & E-commerce,91206,Senior (5+ yrs),No,Excel,Power BI,SQL,19.7
Data Analyst,Healthcare,67715,Graduate (0-1 yrs),Hybrid,Tableau,Data Cleaning,Power BI,11.6
Data Analyst,Media & Comms,91060,Junior (1-3 yrs),Yes,Python,Power BI,Excel,16.9
Data Analyst,Consulting,122355,Mid (3-5 yrs),Hybrid,SQL,Power BI,Excel,15.8
Data Analyst,Finance & Banking,109522,Senior (5+ yrs),Yes,Python,Excel,Data Cleaning,17.3
Data Analyst,Consulting,88863,Junior (1-3 yrs),Hybrid,Power BI,Python,Data Cleaning,22.1
Data Analyst,Education,68784,Graduate (0-1 yrs),Hybrid,Tableau,SQL,Excel,21.1
Data Analyst,Manufacturing,60000,Junior (1-3 yrs),Hybrid,Power BI,Python,SQL,17.9
Data Analyst,Finance & Banking,105752,Senior (5+ yrs),Hybrid,Python,SQL,Tableau,20.0
Data Analyst,Government,85903,Junior (1-3 yrs),No,Excel,Tableau,Power BI,11.8
Data Analyst,Healthcare,131703,Mid (3-5 yrs),No,Excel,Tableau,Power BI,14.1
Data Analyst,Healthcare,82114,Junior (1-3 yrs),Yes,SQL,Tableau,Data Cleaning,18.2
Data Analyst,Finance & Banking,111903,Senior (5+ yrs),No,SQL,Python,Power BI,21.2
Data Analyst,Media & Comms,84479,Junior (1-3 yrs),No,Tableau,Power BI,Data Cleaning,23.2
Data Analyst,Government,55324,Graduate (0-1 yrs),Yes,SQL,Excel,Data Cleaning,18.5
Data Analyst,Manufacturing,83756,Graduate (0-1 yrs),Yes,Power BI,Python,Tableau,19.7
Data Analyst,Media & Comms,120347,Senior (5+ yrs),Hybrid,Tableau,Python,SQL,13.4
Data Analyst,Tech & SaaS,79429,Graduate (0-1 yrs),No,Data Cleaning,SQL,Power BI,16.1
Data Analyst,Government,58514,Graduate (0-1 yrs),Hybrid,Python,Data Cleaning,Tableau,16.4
Data Analyst,Tech & SaaS,86953,Graduate (0-1 yrs),Hybrid,Tableau,Data Cleaning,Power BI,15.5
Data Analyst,Media & Comms,69089,Mid (3-5 yrs),Hybrid,Power BI,Excel,SQL,19.4
Data Analyst,Media & Comms,101306,Mid (3-5 yrs),Yes,Data Cleaning,Python,Tableau,19.5
Data Analyst,Government,127284,Mid (3-5 yrs),Yes,SQL,Tableau,Data Cleaning,17.4
Data Analyst,Government,70141,Junior (1-3 yrs),Hybrid,Excel,Power BI,SQL,20.7
Data Analyst,Consulting,82625,Mid (3-5 yrs),No,Data Cleaning,Tableau,Python,18.1
Data Analyst,Media & Comms,108117,Senior (5+ yrs),No,Tableau,Power BI,Data Cleaning,19.0
Data Analyst,Tech & SaaS,63506,Graduate (0-1 yrs),Hybrid,Data Cleaning,Python,Power BI,16.1
Data Analyst,Healthcare,55000,Graduate (0-1 yrs),Hybrid,Python,SQL,Data Cleaning,18.1
Data Analyst,Manufacturing,70542,Graduate (0-1 yrs),No,Power BI,Data Cleaning,Python,21.8
Data Analyst,Education,74590,Mid (3-5 yrs),No,Data Cleaning,SQL,Power BI,17.7
Data Analyst,Retail & E-commerce,99471,Mid (3-5 yrs),Hybrid,Python,Excel,Power BI,18.8
Data Analyst,Consulting,58390,Graduate (0-1 yrs),No,Data Cleaning,Tableau,Power BI,16.6
Data Analyst,Retail & E-commerce,135311,Senior (5+ yrs),Hybrid,Power BI,SQL,Excel,18.4
Data Analyst,Tech & SaaS,60065,Graduate (0-1 yrs),No,Python,Tableau,Data Cleaning,20.0
Data Analyst,Healthcare,65738,Graduate (0-1 yrs),Hybrid,Python,Power BI,Excel,17.9
Data Analyst,Manufacturing,79705,Graduate (0-1 yrs),No,Python,Power BI,SQL,17.7
Data Analyst,Finance & Banking,71859,Mid (3-5 yrs),No,Power BI,Tableau,Python,19.9
Data Analyst,Manufacturing,95483,Mid (3-5 yrs),No,Data Cleaning,Python,SQL,17.8
Data Analyst,Manufacturing,130758,Senior (5+ yrs),Hybrid,Power BI,Excel,Python,21.4
Data Analyst,Tech & SaaS,76108,Senior (5+ yrs),Yes,Tableau,Power BI,Data Cleaning,22.9
Data Analyst,Consulting,71970,Graduate (0-1 yrs),No,Tableau,Power BI,Excel,22.5
Data Analyst,Healthcare,96009,Mid (3-5 yrs),No,Data Cleaning,Power BI,Python,13.2
Data Analyst,Consulting,104465,Mid (3-5 yrs),Hybrid,Excel,Tableau,Data Cleaning,20.3
Data Analyst,Consulting,55000,Graduate (0-1 yrs),Hybrid,Tableau,Data Cleaning,Excel,19.6
Data Analyst,Media & Comms,55000,Graduate (0-1 yrs),No,Data Cleaning,Excel,Tableau,23.3
Data Analyst,Consulting,76119,Graduate (0-1 yrs),Hybrid,SQL,Data Cleaning,Excel,21.0
Data Analyst,Tech & SaaS,73352,Graduate (0-1 yrs),Hybrid,Power BI,Tableau,Excel,19.9
Data Analyst,Retail & E-commerce,95857,Mid (3-5 yrs),No,Tableau,Excel,Python,18.3
Data Analyst,Healthcare,97411,Mid (3-5 yrs),Yes,Python,Data Cleaning,SQL,20.9
Data Analyst,Tech & SaaS,61335,Graduate (0-1 yrs),Hybrid,Python,Power BI,Excel,14.9
Data Analyst,Tech & SaaS,95561,Mid (3-5 yrs),Yes,SQL,Data Cleaning,Tableau,16.4
Data Analyst,Tech & SaaS,111745,Senior (5+ yrs),Yes,Python,Data Cleaning,Power BI,14.0
Data Analyst,Manufacturing,92855,Senior (5+ yrs),No,Python,Data Cleaning,Power BI,16.9
Data Analyst,Tech & SaaS,112986,Junior (1-3 yrs),Hybrid,Excel,SQL,Power BI,23.1
Data Analyst,Tech & SaaS,92107,Junior (1-3 yrs),Hybrid,Excel,SQL,Tableau,16.6
Data Analyst,Government,83912,Senior (5+ yrs),Hybrid,Data Cleaning,Tableau,Power BI,19.2
Data Analyst,Education,118560,Senior (5+ yrs),No,SQL,Excel,Tableau,15.9
Data Analyst,Manufacturing,57710,Graduate (0-1 yrs),Hybrid,Tableau,Power BI,Excel,15.9
Data Analyst,Government,104550,Mid (3-5 yrs),Yes,Excel,Tableau,Power BI,18.8
Data Analyst,Tech & SaaS,110568,Mid (3-5 yrs),No,Power BI,Tableau,Excel,16.2
Data Analyst,Finance & Banking,78504,Mid (3-5 yrs),No,Python,Power BI,Excel,12.1
Data Analyst,Government,99450,Junior (1-3 yrs),No,Power BI,Data Cleaning,Tableau,20.1
Data Analyst,Healthcare,91191,Junior (1-3 yrs),Hybrid,Tableau,Power BI,SQL,20.9
Data Analyst,Education,79810,Graduate (0-1 yrs),Yes,Data Cleaning,Excel,SQL,18.6
Data Analyst,Healthcare,122527,Mid (3-5 yrs),No,Data Cleaning,SQL,Excel,15.3
Data Analyst,Education,101648,Senior (5+ yrs),Yes,SQL,Python,Tableau,21.3
Data Analyst,Consulting,60428,Graduate (0-1 yrs),Hybrid,Python,Data Cleaning,Excel,14.9
Data Analyst,Healthcare,58758,Graduate (0-1 yrs),Yes,Tableau,Data Cleaning,Python,18.6
Data Analyst,Tech & SaaS,78582,Mid (3-5 yrs),Hybrid,Python,Data Cleaning,Tableau,18.5
Data Analyst,Healthcare,90550,Mid (3-5 yrs),Hybrid,Data Cleaning,Excel,Python,21.0
Data Analyst,Consulting,97326,Mid (3-5 yrs),No,Python,Data Cleaning,Power BI,17.2
Data Analyst,Education,96282,Mid (3-5 yrs),No,Python,Excel,SQL,17.5
Data Analyst,Education,97407,Junior (1-3 yrs),Hybrid,Python,Power BI,Data Cleaning,18.4
Data Analyst,Finance & Banking,85195,Junior (1-3 yrs),No,Excel,Power BI,Python,18.1
Data Analyst,Tech & SaaS,87578,Graduate (0-1 yrs),No,Excel,SQL,Python,17.3
Data Analyst,Media & Comms,101287,Senior (5+ yrs),No,Excel,Data Cleaning,Tableau,22.3
Data Analyst,Government,125802,Junior (1-3 yrs),Yes,Tableau,SQL,Data Cleaning,12.5
Business Analyst,Media & Comms,92287,Mid (3-5 yrs),Yes,Process Mapping,Excel,Power BI,13.3
Business Analyst,Retail & E-commerce,79586,Graduate (0-1 yrs),Hybrid,Process Mapping,Excel,SQL,13.8
Business Analyst,Healthcare,93526,Mid (3-5 yrs),Yes,Stakeholder Management,Power BI,Excel,14.6
Business Analyst,Government,81963,Graduate (0-1 yrs),No,Jira,SQL,Power BI,18.0
Business Analyst,Government,111741,Senior (5+ yrs),Hybrid,Process Mapping,Power BI,Jira,15.3
Business Analyst,Government,59772,Graduate (0-1 yrs),Hybrid,Process Mapping,Stakeholder Management,SQL,11.6
Business Analyst,Government,92911,Senior (5+ yrs),Hybrid,Jira,Excel,Power BI,14.9
Business Analyst,Retail & E-commerce,59272,Graduate (0-1 yrs),Hybrid,Power BI,SQL,Stakeholder Management,12.2
Business Analyst,Finance & Banking,107476,Junior (1-3 yrs),Hybrid,Stakeholder Management,Jira,Process Mapping,14.4
Business Analyst,Healthcare,98606,Senior (5+ yrs),No,Excel,SQL,Stakeholder Management,13.9
Business Analyst,Tech & SaaS,65000,Junior (1-3 yrs),Yes,Power BI,Excel,Stakeholder Management,14.9
Business Analyst,Manufacturing,79657,Graduate (0-1 yrs),Yes,Excel,Power BI,Process Mapping,15.8
Business Analyst,Retail & E-commerce,96154,Graduate (0-1 yrs),No,Stakeholder Management,SQL,Excel,17.0
Business Analyst,Consulting,85210,Graduate (0-1 yrs),Hybrid,Jira,Power BI,Process Mapping,18.5
Business Analyst,Manufacturing,79140,Junior (1-3 yrs),Hybrid,Power BI,Excel,Stakeholder Management,11.2
Business Analyst,Media & Comms,55000,Graduate (0-1 yrs),No,Power BI,Stakeholder Management,SQL,13.5
Business Analyst,Healthcare,71818,Graduate (0-1 yrs),Hybrid,Process Mapping,Power BI,Stakeholder Management,19.6
Business Analyst,Finance & Banking,94103,Mid (3-5 yrs),Hybrid,Jira,SQL,Power BI,16.5
Business Analyst,Healthcare,59494,Graduate (0-1 yrs),Hybrid,Power BI,Jira,Process Mapping,13.5
Business Analyst,Education,81932,Graduate (0-1 yrs),Hybrid,Excel,Stakeholder Management,Power BI,14.0
Business Analyst,Manufacturing,123239,Junior (1-3 yrs),Hybrid,Stakeholder Management,Process Mapping,Jira,11.1
Business Analyst,Healthcare,77080,Graduate (0-1 yrs),Yes,Process Mapping,Power BI,Excel,15.7
Business Analyst,Tech & SaaS,100319,Mid (3-5 yrs),Yes,Jira,SQL,Power BI,12.1
Business Analyst,Education,78979,Mid (3-5 yrs),Hybrid,Process Mapping,Jira,Excel,9.7
Business Analyst,Manufacturing,143941,Senior (5+ yrs),Yes,Jira,Process Mapping,Excel,14.4
Business Analyst,Education,95738,Mid (3-5 yrs),Hybrid,Jira,Process Mapping,Power BI,12.4
Business Analyst,Consulting,85944,Mid (3-5 yrs),Hybrid,Jira,Stakeholder Management,Excel,17.3
Business Analyst,Retail & E-commerce,98437,Mid (3-5 yrs),Hybrid,Process Mapping,Power BI,Excel,18.4
Business Analyst,Consulting,123118,Senior (5+ yrs),Hybrid,Jira,Process Mapping,Power BI,18.5
Business Analyst,Government,75854,Graduate (0-1 yrs),Hybrid,SQL,Jira,Stakeholder Management,13.3
Business Analyst,Tech & SaaS,120646,Mid (3-5 yrs),No,Stakeholder Management,SQL,Jira,18.3
Business Analyst,Education,104663,Mid (3-5 yrs),Hybrid,Power BI,Excel,SQL,13.1
Business Analyst,Media & Comms,69608,Graduate (0-1 yrs),Hybrid,Excel,Power BI,Jira,11.9
Business Analyst,Government,104998,Mid (3-5 yrs),Yes,Excel,SQL,Power BI,20.6
Business Analyst,Consulting,98993,Junior (1-3 yrs),No,Jira,Process Mapping,Power BI,9.3
Business Analyst,Government,83331,Senior (5+ yrs),Hybrid,Power BI,SQL,Process Mapping,15.5
Business Analyst,Consulting,90764,Graduate (0-1 yrs),Hybrid,Stakeholder Management,Process Mapping,Jira,15.3
Business Analyst,Retail & E-commerce,69358,Graduate (0-1 yrs),Hybrid,Excel,Stakeholder Management,Jira,15.4
Business Analyst,Education,106305,Senior (5+ yrs),Yes,SQL,Stakeholder Management,Power BI,14.3
Business Analyst,Media & Comms,103524,Junior (1-3 yrs),No,Stakeholder Management,Power BI,Process Mapping,16.1
Business Analyst,Government,84827,Graduate (0-1 yrs),No,Jira,SQL,Stakeholder Management,9.7
Business Analyst,Education,96731,Senior (5+ yrs),No,SQL,Jira,Power BI,11.9
Business Analyst,Healthcare,112808,Mid (3-5 yrs),Yes,Stakeholder Management,Process Mapping,Excel,12.5
Business Analyst,Media & Comms,79911,Junior (1-3 yrs),Yes,Excel,Jira,Process Mapping,16.8
Business Analyst,Finance & Banking,132572,Mid (3-5 yrs),No,Process Mapping,Power BI,Jira,14.1
Business Analyst,Healthcare,81099,Mid (3-5 yrs),No,Jira,Stakeholder Management,Process Mapping,15.5
Business Analyst,Tech & SaaS,77334,Graduate (0-1 yrs),Hybrid,Power BI,Stakeholder Management,Process Mapping,12.9
Business Analyst,Tech & SaaS,75923,Junior (1-3 yrs),Hybrid,SQL,Jira,Power BI,15.2
Business Analyst,Retail & E-commerce,106606,Graduate (0-1 yrs),No,SQL,Jira,Stakeholder Management,16.0
Business Analyst,Finance & Banking,84648,Senior (5+ yrs),Yes,Power BI,Excel,Jira,14.2
Business Analyst,Retail & E-commerce,81539,Graduate (0-1 yrs),Hybrid,Power BI,Excel,SQL,12.6
Business Analyst,Manufacturing,76771,Junior (1-3 yrs),Yes,Excel,Process Mapping,Power BI,8.6
Business Analyst,Manufacturing,68573,Graduate (0-1 yrs),Hybrid,Excel,Stakeholder Management,Power BI,17.3
Business Analyst,Healthcare,98163,Junior (1-3 yrs),No,SQL,Stakeholder Management,Jira,14.4
Business Analyst,Consulting,140052,Senior (5+ yrs),Yes,SQL,Process Mapping,Power BI,13.4
Business Analyst,Consulting,149026,Senior (5+ yrs),Hybrid,Jira,Power BI,Excel,13.5
Business Analyst,Government,55000,Graduate (0-1 yrs),Hybrid,Excel,Process Mapping,Power BI,11.8
Business Analyst,Finance & Banking,118523,Senior (5+ yrs),Yes,Excel,Power BI,Process Mapping,16.3
Business Analyst,Media & Comms,125571,Mid (3-5 yrs),Hybrid,Process Mapping,Jira,SQL,20.4
Business Analyst,Manufacturing,65000,Junior (1-3 yrs),No,Power BI,Process Mapping,SQL,16.1
Business Analyst,Manufacturing,103310,Mid (3-5 yrs),Yes,Stakeholder Management,Power BI,SQL,13.2
Business Analyst,Education,112452,Senior (5+ yrs),Hybrid,Process Mapping,SQL,Jira,19.9
Business Analyst,Tech & SaaS,97461,Junior (1-3 yrs),Yes,Jira,SQL,Excel,13.5
Business Analyst,Education,76098,Junior (1-3 yrs),No,Stakeholder Management,Excel,Power BI,15.9
Business Analyst,Government,70200,Mid (3-5 yrs),Yes,Jira,Power BI,Stakeholder Management,18.1
Business Analyst,Healthcare,81250,Senior (5+ yrs),Hybrid,Excel,Jira,Power BI,11.0
Business Analyst,Consulting,134467,Senior (5+ yrs),Yes,SQL,Process Mapping,Excel,12.1
Business Analyst,Manufacturing,109872,Junior (1-3 yrs),Hybrid,Excel,Power BI,SQL,14.1
Business Analyst,Tech & SaaS,119310,Senior (5+ yrs),Hybrid,Process Mapping,Power BI,Excel,17.7
Business Analyst,Media & Comms,80385,Junior (1-3 yrs),Yes,Stakeholder Management,Excel,Jira,13.4
Business Analyst,Media & Comms,65000,Junior (1-3 yrs),Yes,Excel,Process Mapping,Power BI,17.9
Business Analyst,Tech & SaaS,125175,Senior (5+ yrs),No,Jira,Stakeholder Management,Excel,20.1
Business Analyst,Finance & Banking,75799,Mid (3-5 yrs),Hybrid,Excel,Stakeholder Management,Process Mapping,13.5
Business Analyst,Manufacturing,96495,Senior (5+ yrs),No,Jira,Stakeholder Management,Power BI,15.1
Business Analyst,Manufacturing,79441,Junior (1-3 yrs),Hybrid,Power BI,Process Mapping,Jira,19.3
Business Analyst,Tech & SaaS,93359,Mid (3-5 yrs),Hybrid,SQL,Stakeholder Management,Excel,14.2
Business Analyst,Manufacturing,95421,Senior (5+ yrs),Hybrid,Jira,Process Mapping,SQL,14.7
Business Analyst,Finance & Banking,90602,Junior (1-3 yrs),No,SQL,Power BI,Jira,14.4
Business Analyst,Manufacturing,78807,Junior (1-3 yrs),Hybrid,Power BI,Excel,SQL,18.5
Business Analyst,Education,84151,Graduate (0-1 yrs),Hybrid,Jira,Excel,SQL,15.4
Business Analyst,Media & Comms,117243,Mid (3-5 yrs),No,SQL,Process Mapping,Power BI,15.6
Business Analyst,Education,75401,Graduate (0-1 yrs),No,Excel,SQL,Process Mapping,12.7
Business Analyst,Finance & Banking,106193,Mid (3-5 yrs),No,Process Mapping,Excel,Power BI,16.7
Business Analyst,Education,138370,Mid (3-5 yrs),Hybrid,Excel,Stakeholder Management,Jira,16.0
Business Analyst,Education,74404,Mid (3-5 yrs),Yes,Jira,Process Mapping,Power BI,13.9
Business Analyst,Manufacturing,73220,Mid (3-5 yrs),Hybrid,Power BI,Stakeholder Management,Jira,16.7
Business Analyst,Healthcare,84057,Graduate (0-1 yrs),Hybrid,Jira,Process Mapping,SQL,11.7
